iter	Passed	Remaining
0	141	141819
1	142	71190
2	143	47665
3	144	35874
4	144	28793
5	145	24076
6	145	20701
7	146	18161
8	146	16184
9	147	14604
10	148	13314
11	148	12242
12	149	11337
13	149	10559
14	150	9884
15	151	9291
16	151	8767
17	152	8299
18	153	7909
19	153	7544
20	154	7209
21	155	6911
22	156	6640
23	157	6385
24	157	6150
25	158	5930
26	158	5727
27	159	5540
28	160	5365
29	160	5202
30	161	5052
31	162	4905
32	162	4769
33	163	4642
34	163	4521
35	164	4407
36	165	4300
37	165	4199
38	166	4102
39	167	4010
40	167	3926
41	168	3844
42	169	3764
43	169	3686
44	170	3613
45	170	3544
46	171	3479
47	172	3417
48	172	3356
49	173	3299
50	174	3244
51	174	3189
52	175	3136
53	176	3085
54	176	3037
55	177	2989
56	177	2944
57	178	2902
58	179	2859
59	179	2817
60	180	2778
61	181	2741
62	181	2705
63	182	2670
64	183	2635
65	183	2601
66	184	2569
67	185	2537
68	185	2506
69	186	2477
70	187	2448
71	187	2419
72	188	2391
73	188	2363
74	189	2337
75	190	2312
76	190	2288
77	191	2266
78	192	2241
79	192	2218
80	193	2197
81	194	2175
82	194	2151
83	195	2134
84	196	2114
85	197	2097
86	198	2079
87	199	2063
88	199	2045
89	200	2027
90	201	2008
91	201	1991
92	202	1974
93	203	1957
94	203	1940
95	204	1924
96	205	1908
97	205	1892
98	206	1877
99	206	1862
100	207	1846
101	208	1831
102	208	1817
103	209	1804
104	210	1790
105	210	1777
106	211	1764
107	212	1751
108	212	1738
109	213	1725
110	213	1712
111	214	1700
112	215	1688
113	215	1676
114	216	1664
115	216	1653
116	217	1641
117	218	1631
118	218	1620
119	219	1609
120	220	1599
121	220	1588
122	221	1579
123	222	1569
124	222	1559
125	223	1551
126	224	1540
127	224	1530
128	225	1521
129	225	1512
130	226	1502
131	227	1493
132	227	1485
133	228	1476
134	229	1467
135	229	1458
136	230	1450
137	230	1441
138	231	1432
139	231	1424
140	232	1416
141	232	1407
142	233	1398
143	234	1392
144	235	1386
145	235	1379
146	236	1373
147	237	1365
148	237	1358
149	238	1351
150	239	1344
151	239	1337
152	240	1329
153	240	1322
154	241	1315
155	241	1309
156	242	1302
157	243	1296
158	243	1289
159	244	1282
160	244	1275
161	245	1269
162	246	1263
163	246	1257
164	247	1251
165	247	1245
166	248	1239
167	248	1233
168	249	1227
169	250	1221
170	250	1215
171	251	1209
172	251	1203
173	252	1198
174	253	1192
175	253	1187
176	254	1181
177	254	1176
178	255	1171
179	255	1165
180	256	1160
181	257	1155
182	257	1150
183	258	1145
184	258	1140
185	259	1135
186	260	1130
187	260	1126
188	261	1121
189	261	1116
190	262	1111
191	263	1107
192	263	1103
193	264	1098
194	265	1095
195	266	1091
196	266	1086
197	267	1082
198	267	1077
199	268	1073
200	269	1069
201	269	1065
202	270	1061
203	271	1058
204	271	1054
205	272	1050
206	273	1046
207	273	1042
208	274	1038
209	275	1035
210	275	1031
211	276	1027
212	277	1024
213	277	1020
214	278	1016
215	279	1013
216	279	1009
217	280	1005
218	281	1002
219	281	998
220	282	995
221	282	991
222	283	988
223	284	985
224	285	981
225	285	978
226	286	975
227	287	971
228	287	968
229	288	965
230	289	962
231	289	959
232	290	956
233	291	953
234	291	950
235	292	947
236	293	944
237	294	941
238	294	938
239	295	934
240	295	932
241	296	929
242	297	925
243	297	922
244	298	919
245	299	916
246	299	913
247	300	910
248	301	907
249	301	905
250	302	902
251	303	899
252	303	896
253	304	893
254	304	890
255	305	888
256	306	885
257	307	883
258	307	880
259	308	877
260	309	875
261	309	872
262	310	869
263	310	866
264	311	863
265	311	860
266	312	858
267	313	855
268	314	853
269	314	851
270	315	848
271	316	846
272	317	844
273	317	841
274	318	839
275	319	837
276	319	834
277	320	832
278	321	830
279	322	828
280	322	825
281	323	823
282	324	821
283	324	818
284	325	816
285	325	813
286	326	811
287	327	809
288	328	807
289	328	805
290	329	803
291	330	800
292	330	798
293	331	796
294	332	794
295	332	791
296	333	789
297	334	787
298	334	785
299	335	782
300	336	780
301	336	778
302	337	776
303	337	773
304	338	771
305	339	769
306	340	767
307	340	765
308	341	763
309	342	761
310	342	759
311	343	756
312	343	754
313	344	752
314	345	750
315	345	748
316	346	745
317	346	743
318	347	741
319	347	739
320	348	737
321	349	735
322	349	733
323	350	731
324	351	729
325	351	727
326	352	725
327	353	723
328	353	721
329	354	719
330	355	717
331	355	715
332	356	713
333	356	711
334	357	709
335	358	707
336	358	705
337	359	703
338	359	701
339	360	700
340	361	698
341	361	696
342	362	694
343	363	692
344	363	690
345	364	689
346	365	687
347	366	685
348	366	683
349	367	682
350	367	680
351	368	678
352	368	676
353	369	674
354	370	672
355	370	670
356	371	668
357	371	666
358	372	665
359	373	663
360	373	661
361	374	660
362	375	658
363	375	656
364	376	655
365	377	653
366	378	652
367	378	650
368	379	649
369	380	647
370	380	645
371	381	644
372	382	642
373	382	640
374	383	639
375	384	638
376	385	636
377	386	635
378	386	633
379	387	631
380	388	630
381	388	628
382	389	627
383	390	626
384	391	625
385	391	623
386	392	622
387	393	620
388	394	619
389	394	617
390	395	616
391	396	614
392	396	613
393	397	611
394	398	610
395	398	608
396	399	606
397	400	605
398	400	603
399	401	601
400	401	600
401	402	598
402	403	597
403	403	595
404	404	594
405	405	592
406	405	591
407	406	589
408	407	588
409	407	586
410	408	585
411	408	583
412	409	582
413	410	580
414	410	579
415	411	577
416	412	576
417	412	574
418	413	573
419	413	571
420	414	570
421	415	569
422	416	568
423	417	566
424	417	565
425	418	564
426	419	562
427	420	561
428	420	560
429	421	558
430	422	557
431	423	556
432	423	555
433	424	553
434	425	552
435	425	550
436	426	549
437	427	548
438	427	546
439	428	545
440	429	543
441	429	542
442	430	541
443	430	539
444	431	538
445	432	536
446	433	535
447	433	534
448	434	533
449	435	531
450	435	530
451	436	529
452	436	527
453	437	526
454	438	524
455	438	523
456	439	522
457	440	521
458	440	519
459	441	518
460	442	516
461	442	515
462	443	514
463	444	513
464	444	511
465	445	510
466	446	509
467	446	507
468	447	506
469	448	505
470	448	503
471	449	502
472	449	501
473	450	499
474	450	498
475	451	497
476	452	495
477	452	494
478	453	493
479	454	492
480	454	490
481	455	489
482	456	488
483	457	487
484	457	485
485	458	484
486	458	483
487	459	482
488	460	480
489	461	479
490	461	478
491	462	477
492	463	476
493	463	475
494	464	473
495	465	472
496	465	471
497	466	470
498	467	469
499	468	468
500	468	466
501	469	465
502	470	464
503	470	463
504	471	462
505	472	461
506	472	459
507	473	458
508	474	457
509	474	456
510	475	454
511	476	453
512	477	452
513	477	451
514	478	450
515	479	449
516	479	448
517	480	446
518	481	445
519	481	444
520	482	443
521	483	442
522	483	441
523	484	439
524	484	438
525	485	437
526	486	436
527	486	435
528	487	434
529	488	432
530	488	431
531	489	430
532	490	429
533	490	428
534	491	427
535	492	426
536	493	425
537	494	424
538	494	423
539	495	422
540	496	420
541	496	419
542	497	418
543	498	417
544	498	416
545	499	415
546	500	414
547	501	413
548	502	412
549	502	411
550	503	410
551	504	409
552	504	408
553	505	407
554	506	405
555	506	404
556	507	403
557	508	402
558	509	401
559	509	400
560	510	399
561	511	398
562	511	397
563	512	396
564	513	395
565	513	394
566	514	392
567	515	391
568	515	390
569	516	389
570	516	388
571	517	387
572	518	386
573	518	385
574	519	384
